area_en,project_name_en_count,nearest_landmark_en_count,nearest_metro_en_count,nearest_mall_en_count,master_project_en_count,latitude,longitude
SUSTAINABLE CITY,1,2,0,0,0,25.03225885,55.2796822756265
Saih Aldahal,0,0,0,0,0,24.7450428,55.36193205295207
Saih Shuaib 1,0,0,0,0,0,24.9024228,55.0059684
Saih Shuaib 2,0,1,0,0,0,24.8578572,55.0608716
Saih Shuaib 4,0,0,0,0,0,24.8238246,55.0971343
TECOM SITE A,4,1,7,2,0,25.1413271,55.18539672753495
THE FIELD,1,1,0,0,0,25.0268911910461,55.2607827330452
THE GREENS,4,1,2,1,0,25.1413271,55.18539672753495
THE LAKES,8,2,2,1,0,25.07919141426034,55.17290077535412
THE VALLEY,2,0,0,0,0,25.0111530873498,55.4528842807438
THE VILLA,2,1,0,0,0,25.218984650000003,55.4491965052065
THE WORLD,4,2,2,1,0,25.23726785,55.195494157283456
TILAL AL GHAF,2,1,1,0,0,25.02426745,55.22382996438196
TOWN SQUARE,14,1,0,0,0,25.013115300000003,55.2870242605372
Trade Center First,1,1,4,1,0,25.2299822,55.2865869
Trade Center Second,0,1,2,1,0,25.1970336,55.27413294647308
Um Al Sheif,0,1,1,1,0,25.1319978,55.204668
Um Hurair First,0,1,2,1,0,25.2521287,55.365715576690505
Um Ramool,0,1,1,1,0,25.2310318,55.3674888
Um Suqaim First,0,1,1,1,0,25.1413271,55.18539672753495
Um Suqaim Second,0,1,2,1,0,25.1413271,55.18539672753495
Um Suqaim Third,6,1,1,1,0,25.4175531,55.4504881
VILLANOVA,13,1,0,0,0,25.0750041,55.359536097226105
Wadi Al Amardi,0,0,2,1,0,25.20929,55.4879092
Wadi Al Safa 2,3,1,0,0,0,25.0987828,55.351406478118335
Wadi Al Safa 3,19,1,1,0,0,25.10571265,55.316535293610826
Wadi Al Safa 4,3,0,0,0,0,25.0751088,55.3175621
Wadi Al Safa 5,18,1,0,0,0,25.0842543,55.3729759
Wadi Al Safa 7,5,1,0,0,0,25.0352976,55.2826859
Warsan First,2,1,1,1,0,25.2521287,55.365715576690505
Warsan Fourth,0,0,0,0,0,25.1577143112195,55.4241052763195
Zaabeel First,2,1,1,1,0,25.226715,55.29291535225927
Zaabeel Second,2,1,2,1,0,25.20214795,55.2806324819784
